pass_player,rec_player,passing_att,passing_cmp,passing_yds,passing_tds,passing_int,cmp_per_att,yds_per_att,tds_per_att,int_per_att,a,b,c,d,passer_rtg,rec_pos
J.Cutler,A.Jeffery,94,54.0,807.0,4.0,3.0,0.574468085106,8.58510638298,0.0425531914894,0.031914893617,1.37234042553,1.39627659574,0.851063829787,1.57712765957,86.6134751773,WR
A.Rodgers,J.Jones,99,50.0,874.0,8.0,5.0,0.505050505051,8.82828282828,0.0808080808081,0.0505050505051,1.02525252525,1.45707070707,1.61616161616,1.11237373737,86.8476430976,
R.Tannehill,J.Landry,167,111.0,1159.0,4.0,3.0,0.664670658683,6.94011976048,0.0239520958084,0.0179640718563,1.82335329341,0.98502994012,0.479041916168,1.92589820359,86.8887225549,WR
B.Roethlisberger,M.Bryant,73,40.0,578.0,3.0,1.0,0.547945205479,7.91780821918,0.041095890411,0.013698630137,1.2397260274,1.22945205479,0.821917808219,2.03253424658,88.7271689498,WR
J.Flacco,S.Smith,73,46.0,670.0,3.0,3.0,0.630136986301,9.17808219178,0.041095890411,0.041095890411,1.65068493151,1.54452054795,0.821917808219,1.34760273973,89.4121004566,WR
T.Taylor,C.Clay,60,39.0,440.0,3.0,2.0,0.65,7.33333333333,0.05,0.0333333333333,1.75,1.08333333333,1.0,1.54166666667,89.5833333333,TE
P.Rivers,D.Inman,63,35.0,486.0,3.0,1.0,0.555555555556,7.71428571429,0.047619047619,0.015873015873,1.27777777778,1.17857142857,0.952380952381,1.97817460317,89.7817460317,WR
M.Ryan,D.Freeman,97,73.0,578.0,3.0,2.0,0.752577319588,5.9587628866,0.0309278350515,0.020618556701,2.26288659794,0.739690721649,0.618556701031,1.85953608247,91.3445017182,RB
D.Brees,M.Colston,61,41.0,473.0,4.0,3.0,0.672131147541,7.75409836066,0.0655737704918,0.0491803278689,1.8606557377,1.18852459016,1.31147540984,1.14549180328,91.7691256831,
E.Manning,D.Harris,57,36.0,388.0,4.0,2.0,0.631578947368,6.80701754386,0.0701754385965,0.0350877192982,1.65789473684,0.951754385965,1.40350877193,1.49780701754,91.8494152047,WR
T.Bridgewater,K.Rudolph,73,49.0,495.0,5.0,3.0,0.671232876712,6.78082191781,0.0684931506849,0.041095890411,1.85616438356,0.945205479452,1.3698630137,1.34760273973,91.9805936073,TE
T.Bridgewater,S.Diggs,82,52.0,720.0,4.0,3.0,0.634146341463,8.78048780488,0.0487804878049,0.0365853658537,1.67073170732,1.44512195122,0.975609756098,1.46036585366,92.5304878049,WR
P.Rivers,S.Johnson,64,44.0,482.0,3.0,2.0,0.6875,7.53125,0.046875,0.03125,1.9375,1.1328125,0.9375,1.59375,93.359375,WR
R.Wilson,J.Graham,74,48.0,605.0,2.0,1.0,0.648648648649,8.17567567568,0.027027027027,0.0135135135135,1.74324324324,1.29391891892,0.540540540541,2.03716216216,93.5810810811,TE
B.Hoyer,D.Hopkins,108,65.0,876.0,5.0,2.0,0.601851851852,8.11111111111,0.0462962962963,0.0185185185185,1.50925925926,1.27777777778,0.925925925926,1.91203703704,93.75,WR
C.Newton,D.Funchess,62,30.0,465.0,5.0,1.0,0.483870967742,7.5,0.0806451612903,0.0161290322581,0.91935483871,1.125,1.61290322581,1.97177419355,93.8172043011,WR
M.Hasselbeck,T.Hilton,57,31.0,491.0,2.0,0.0,0.543859649123,8.61403508772,0.0350877192982,0.0,1.21929824561,1.40350877193,0.701754385965,2.375,94.9926900585,WR
D.Carr,M.Crabtree,140,81.0,895.0,9.0,1.0,0.578571428571,6.39285714286,0.0642857142857,0.00714285714286,1.39285714286,0.848214285714,1.28571428571,2.19642857143,95.3869047619,WR
A.Rodgers,R.Cobb,129,79.0,829.0,6.0,0.0,0.612403100775,6.42635658915,0.046511627907,0.0,1.56201550388,0.856589147287,0.93023255814,2.375,95.3972868217,WR
N.Foles,T.Austin,59,37.0,362.0,4.0,1.0,0.627118644068,6.13559322034,0.0677966101695,0.0169491525424,1.63559322034,0.783898305085,1.35593220339,1.95127118644,95.4449152542,WR
B.Roethlisberger,H.Miller,71,54.0,463.0,2.0,1.0,0.760563380282,6.52112676056,0.0281690140845,0.0140845070423,2.30281690141,0.880281690141,0.56338028169,2.02288732394,96.1561032864,
M.Stafford,C.Johnson,147,87.0,1191.0,9.0,3.0,0.591836734694,8.10204081633,0.0612244897959,0.0204081632653,1.45918367347,1.27551020408,1.22448979592,1.86479591837,97.0663265306,
B.Hoyer,N.Washington,58,31.0,467.0,3.0,0.0,0.534482758621,8.05172413793,0.051724137931,0.0,1.1724137931,1.26293103448,1.03448275862,2.375,97.4137931034,
M.Stafford,G.Tate,121,86.0,770.0,6.0,2.0,0.710743801653,6.36363636364,0.0495867768595,0.0165289256198,2.05371900826,0.840909090909,0.99173553719,1.9617768595,97.4690082645,WR
D.Brees,B.Watson,104,69.0,758.0,6.0,2.0,0.663461538462,7.28846153846,0.0576923076923,0.0192307692308,1.81730769231,1.07211538462,1.15384615385,1.89423076923,98.9583333333,TE
K.Cousins,J.Crowder,76,57.0,570.0,2.0,1.0,0.75,7.5,0.0263157894737,0.0131578947368,2.25,1.125,0.526315789474,2.04605263158,99.1228070175,WR
E.Manning,S.Vereen,81,59.0,498.0,4.0,1.0,0.728395061728,6.14814814815,0.0493827160494,0.0123456790123,2.14197530864,0.787037037037,0.987654320988,2.06635802469,99.7170781893,RB
B.Gabbert,A.Boldin,57,38.0,417.0,2.0,0.0,0.666666666667,7.31578947368,0.0350877192982,0.0,1.83333333333,1.07894736842,0.701754385965,2.375,99.817251462,WR
