pass_player,rec_player,passing_att,passing_cmp,passing_yds,passing_tds,passing_int,cmp_per_att,yds_per_att,tds_per_att,int_per_att,a,b,c,d,passer_rtg,rec_pos
B.Gabbert,J.Blackmon,54,24.0,243.0,1.0,3.0,0.444444444444,4.5,0.0185185185185,0.0555555555556,0.722222222222,0.375,0.37037037037,0.986111111111,40.8950617284,WR
M.Stafford,T.Scheffler,85,42.0,504.0,1.0,5.0,0.494117647059,5.92941176471,0.0117647058824,0.0588235294118,0.970588235294,0.732352941176,0.235294117647,0.904411764706,47.3774509804,
R.Fitzpatrick,T.Graham,56,30.0,310.0,1.0,3.0,0.535714285714,5.53571428571,0.0178571428571,0.0535714285714,1.17857142857,0.633928571429,0.357142857143,1.03571428571,53.4226190476,
J.Locker,N.Washington,51,23.0,453.0,2.0,4.0,0.450980392157,8.88235294118,0.0392156862745,0.078431372549,0.754901960784,1.47058823529,0.78431372549,0.414215686275,57.0669934641,
C.Ponder,J.Simpson,52,26.0,274.0,0.0,1.0,0.5,5.26923076923,0.0,0.0192307692308,1.0,0.567307692308,0.0,1.89423076923,57.6923076923,
C.Newton,L.Murphy,61,25.0,336.0,1.0,1.0,0.409836065574,5.50819672131,0.016393442623,0.016393442623,0.549180327869,0.627049180328,0.327868852459,1.96516393443,57.8210382514,WR
M.Vick,B.Celek,63,37.0,496.0,1.0,4.0,0.587301587302,7.87301587302,0.015873015873,0.0634920634921,1.43650793651,1.21825396825,0.31746031746,0.787698412698,62.6653439153,TE
A.Luck,R.Wayne,195,106.0,1355.0,5.0,10.0,0.54358974359,6.94871794872,0.025641025641,0.0512820512821,1.21794871795,0.987179487179,0.512820512821,1.09294871795,63.514957265,
B.Weeden,G.Little,85,48.0,585.0,2.0,4.0,0.564705882353,6.88235294118,0.0235294117647,0.0470588235294,1.32352941176,0.970588235294,0.470588235294,1.19852941176,66.0539215686,
C.Ponder,M.Jenkins,72,40.0,449.0,2.0,3.0,0.555555555556,6.23611111111,0.0277777777778,0.0416666666667,1.27777777778,0.809027777778,0.555555555556,1.33333333333,66.2615740741,
A.Luck,D.Avery,124,60.0,781.0,3.0,3.0,0.483870967742,6.29838709677,0.0241935483871,0.0241935483871,0.91935483871,0.824596774194,0.483870967742,1.77016129032,66.6330645161,
J.Freeman,D.Clark,75,47.0,435.0,4.0,5.0,0.626666666667,5.8,0.0533333333333,0.0666666666667,1.63333333333,0.7,1.06666666667,0.708333333333,68.4722222222,
M.Cassel,D.Bowe,82,45.0,581.0,3.0,4.0,0.548780487805,7.08536585366,0.0365853658537,0.0487804878049,1.24390243902,1.02134146341,0.731707317073,1.15548780488,69.2073170732,
B.Weeden,B.Watson,69,42.0,437.0,3.0,4.0,0.608695652174,6.33333333333,0.0434782608696,0.0579710144928,1.54347826087,0.833333333333,0.869565217391,0.925724637681,69.5350241546,TE
R.Fitzpatrick,St.Johnson,148,79.0,1046.0,6.0,7.0,0.533783783784,7.06756756757,0.0405405405405,0.0472972972973,1.16891891892,1.01689189189,0.810810810811,1.19256756757,69.8198198198,WR
T.Romo,K.Ogletree,55,32.0,436.0,4.0,5.0,0.581818181818,7.92727272727,0.0727272727273,0.0909090909091,1.40909090909,1.23181818182,1.45454545455,0.102272727273,69.9621212121,
M.Stafford,B.Pettigrew,101,58.0,548.0,3.0,3.0,0.574257425743,5.42574257426,0.029702970297,0.029702970297,1.37128712871,0.606435643564,0.594059405941,1.63242574257,70.0701320132,TE
C.Palmer,D.Moore,102,48.0,731.0,6.0,5.0,0.470588235294,7.16666666667,0.0588235294118,0.0490196078431,0.852941176471,1.04166666667,1.17647058824,1.14950980392,70.3431372549,
E.Manning,H.Nicks,100,53.0,692.0,3.0,3.0,0.53,6.92,0.03,0.03,1.15,0.98,0.6,1.625,72.5833333333,
J.Freeman,T.Underwood,53,27.0,406.0,2.0,2.0,0.509433962264,7.66037735849,0.0377358490566,0.0377358490566,1.04716981132,1.16509433962,0.754716981132,1.43160377358,73.3097484277,
R.Griffin,J.Morgan,68,43.0,446.0,2.0,3.0,0.632352941176,6.55882352941,0.0294117647059,0.0441176470588,1.66176470588,0.889705882353,0.588235294118,1.27205882353,73.5294117647,
P.Manning,J.Tamme,84,52.0,555.0,2.0,3.0,0.619047619048,6.60714285714,0.0238095238095,0.0357142857143,1.59523809524,0.901785714286,0.47619047619,1.48214285714,74.255952381,TE
R.Tannehill,D.Bess,96,57.0,750.0,1.0,3.0,0.59375,7.8125,0.0104166666667,0.03125,1.46875,1.203125,0.208333333333,1.59375,74.5659722222,
J.Locker,K.Britt,54,27.0,365.0,3.0,2.0,0.5,6.75925925926,0.0555555555556,0.037037037037,1.0,0.939814814815,1.11111111111,1.44907407407,75.0,WR
M.Ryan,H.Douglas,59,38.0,396.0,1.0,2.0,0.64406779661,6.71186440678,0.0169491525424,0.0338983050847,1.72033898305,0.927966101695,0.338983050847,1.52754237288,75.2471751412,WR
