pass_player,rec_player,passing_att,passing_cmp,passing_yds,passing_tds,passing_int,cmp_per_att,yds_per_att,tds_per_att,int_per_att,a,b,c,d,passer_rtg,rec_pos
M.Stafford,T.Scheffler,82,40.0,476.0,1.0,5.0,0.487804878049,5.80487804878,0.0121951219512,0.0609756097561,0.939024390244,0.701219512195,0.243902439024,0.850609756098,45.5792682927,
R.Fitzpatrick,T.Graham,56,30.0,310.0,1.0,3.0,0.535714285714,5.53571428571,0.0178571428571,0.0535714285714,1.17857142857,0.633928571429,0.357142857143,1.03571428571,53.4226190476,
C.Newton,L.Murphy,61,25.0,336.0,1.0,1.0,0.409836065574,5.50819672131,0.016393442623,0.016393442623,0.549180327869,0.627049180328,0.327868852459,1.96516393443,57.8210382514,WR
A.Luck,R.Wayne,184,98.0,1259.0,5.0,10.0,0.532608695652,6.84239130435,0.0271739130435,0.054347826087,1.16304347826,0.960597826087,0.54347826087,1.01630434783,61.3903985507,
M.Vick,B.Celek,63,37.0,496.0,1.0,4.0,0.587301587302,7.87301587302,0.015873015873,0.0634920634921,1.43650793651,1.21825396825,0.31746031746,0.787698412698,62.6653439153,TE
B.Weeden,G.Little,85,48.0,585.0,2.0,4.0,0.564705882353,6.88235294118,0.0235294117647,0.0470588235294,1.32352941176,0.970588235294,0.470588235294,1.19852941176,66.0539215686,
C.Ponder,M.Jenkins,70,39.0,438.0,2.0,3.0,0.557142857143,6.25714285714,0.0285714285714,0.0428571428571,1.28571428571,0.814285714286,0.571428571429,1.30357142857,66.25,
A.Luck,D.Avery,118,56.0,716.0,3.0,2.0,0.474576271186,6.06779661017,0.0254237288136,0.0169491525424,0.872881355932,0.766949152542,0.508474576271,1.95127118644,68.3262711864,
J.Freeman,D.Clark,75,47.0,435.0,4.0,5.0,0.626666666667,5.8,0.0533333333333,0.0666666666667,1.63333333333,0.7,1.06666666667,0.708333333333,68.4722222222,
M.Cassel,D.Bowe,82,45.0,581.0,3.0,4.0,0.548780487805,7.08536585366,0.0365853658537,0.0487804878049,1.24390243902,1.02134146341,0.731707317073,1.15548780488,69.2073170732,
R.Griffin,J.Morgan,63,38.0,396.0,2.0,3.0,0.603174603175,6.28571428571,0.031746031746,0.047619047619,1.51587301587,0.821428571429,0.634920634921,1.18452380952,69.2791005291,
B.Weeden,B.Watson,69,42.0,437.0,3.0,4.0,0.608695652174,6.33333333333,0.0434782608696,0.0579710144928,1.54347826087,0.833333333333,0.869565217391,0.925724637681,69.5350241546,TE
R.Fitzpatrick,St.Johnson,148,79.0,1046.0,6.0,7.0,0.533783783784,7.06756756757,0.0405405405405,0.0472972972973,1.16891891892,1.01689189189,0.810810810811,1.19256756757,69.8198198198,WR
T.Romo,K.Ogletree,55,32.0,436.0,4.0,5.0,0.581818181818,7.92727272727,0.0727272727273,0.0909090909091,1.40909090909,1.23181818182,1.45454545455,0.102272727273,69.9621212121,
C.Palmer,D.Moore,102,48.0,731.0,6.0,5.0,0.470588235294,7.16666666667,0.0588235294118,0.0490196078431,0.852941176471,1.04166666667,1.17647058824,1.14950980392,70.3431372549,
M.Stafford,B.Pettigrew,98,57.0,537.0,3.0,3.0,0.581632653061,5.47959183673,0.030612244898,0.030612244898,1.40816326531,0.619897959184,0.612244897959,1.60969387755,70.8333333333,TE
E.Manning,H.Nicks,100,53.0,692.0,3.0,3.0,0.53,6.92,0.03,0.03,1.15,0.98,0.6,1.625,72.5833333333,
J.Freeman,T.Underwood,53,27.0,406.0,2.0,2.0,0.509433962264,7.66037735849,0.0377358490566,0.0377358490566,1.04716981132,1.16509433962,0.754716981132,1.43160377358,73.3097484277,
P.Manning,J.Tamme,84,52.0,555.0,2.0,3.0,0.619047619048,6.60714285714,0.0238095238095,0.0357142857143,1.59523809524,0.901785714286,0.47619047619,1.48214285714,74.255952381,TE
M.Sanchez,J.Kerley,79,44.0,731.0,2.0,4.0,0.556962025316,9.25316455696,0.0253164556962,0.0506329113924,1.28481012658,1.56329113924,0.506329113924,1.10917721519,74.3934599156,WR
R.Tannehill,D.Bess,96,57.0,750.0,1.0,3.0,0.59375,7.8125,0.0104166666667,0.03125,1.46875,1.203125,0.208333333333,1.59375,74.5659722222,
J.Locker,K.Wright,53,29.0,288.0,2.0,1.0,0.547169811321,5.43396226415,0.0377358490566,0.0188679245283,1.2358490566,0.608490566038,0.754716981132,1.90330188679,75.0393081761,WR
M.Ryan,H.Douglas,59,38.0,396.0,1.0,2.0,0.64406779661,6.71186440678,0.0169491525424,0.0338983050847,1.72033898305,0.927966101695,0.338983050847,1.52754237288,75.2471751412,WR
R.Tannehill,B.Hartline,127,71.0,1054.0,1.0,3.0,0.55905511811,8.29921259843,0.00787401574803,0.0236220472441,1.29527559055,1.32480314961,0.157480314961,1.7844488189,76.0334645669,
J.Flacco,J.Jones,52,29.0,398.0,1.0,1.0,0.557692307692,7.65384615385,0.0192307692308,0.0192307692308,1.28846153846,1.16346153846,0.384615384615,1.89423076923,78.8461538462,
P.Rivers,R.Mathews,56,39.0,252.0,0.0,0.0,0.696428571429,4.5,0.0,0.0,1.98214285714,0.375,0.0,2.375,78.869047619,RB
C.Palmer,R.Streater,64,33.0,491.0,3.0,2.0,0.515625,7.671875,0.046875,0.03125,1.078125,1.16796875,0.9375,1.59375,79.6223958333,WR
M.Schaub,K.Walter,64,38.0,484.0,2.0,2.0,0.59375,7.5625,0.03125,0.03125,1.46875,1.140625,0.625,1.59375,80.46875,
R.Tannehill,A.Fasano,66,40.0,328.0,4.0,2.0,0.606060606061,4.9696969697,0.0606060606061,0.030303030303,1.5303030303,0.492424242424,1.21212121212,1.61742424242,80.8712121212,TE
E.Manning,M.Bennett,88,53.0,607.0,5.0,4.0,0.602272727273,6.89772727273,0.0568181818182,0.0454545454545,1.51136363636,0.974431818182,1.13636363636,1.23863636364,81.0132575758,TE
C.Palmer,D.McFadden,56,37.0,241.0,1.0,0.0,0.660714285714,4.30357142857,0.0178571428571,0.0,1.80357142857,0.325892857143,0.357142857143,2.375,81.0267857143,
M.Vick,J.Maclin,59,31.0,384.0,4.0,2.0,0.525423728814,6.50847457627,0.0677966101695,0.0338983050847,1.12711864407,0.877118644068,1.35593220339,1.52754237288,81.4618644068,WR
A.Dalton,A.Hawkins,76,47.0,488.0,4.0,3.0,0.618421052632,6.42105263158,0.0526315789474,0.0394736842105,1.59210526316,0.855263157895,1.05263157895,1.38815789474,81.4692982456,WR
C.Newton,S.Smith,136,72.0,1151.0,4.0,3.0,0.529411764706,8.46323529412,0.0294117647059,0.0220588235294,1.14705882353,1.36580882353,0.588235294118,1.82352941176,82.0772058824,WR
C.Newton,B.LaFell,75,43.0,665.0,4.0,4.0,0.573333333333,8.86666666667,0.0533333333333,0.0533333333333,1.36666666667,1.46666666667,1.06666666667,1.04166666667,82.3611111111,WR
C.Ponder,A.Peterson,51,40.0,217.0,1.0,1.0,0.78431372549,4.25490196078,0.0196078431373,0.0196078431373,2.375,0.313725490196,0.392156862745,1.88480392157,82.7614379085,RB
A.Rodgers,G.Jennings,62,36.0,366.0,4.0,2.0,0.58064516129,5.90322580645,0.0645161290323,0.0322580645161,1.40322580645,0.725806451613,1.29032258065,1.5685483871,83.1317204301,
T.Romo,M.Austin,119,66.0,943.0,6.0,4.0,0.554621848739,7.9243697479,0.0504201680672,0.0336134453782,1.2731092437,1.23109243697,1.00840336134,1.53466386555,84.1211484594,
J.Freeman,V.Jackson,146,71.0,1356.0,8.0,5.0,0.486301369863,9.28767123288,0.0547945205479,0.0342465753425,0.931506849315,1.57191780822,1.09589041096,1.51883561644,85.3025114155,WR
M.Schaub,A.Foster,51,34.0,180.0,2.0,0.0,0.666666666667,3.52941176471,0.0392156862745,0.0,1.83333333333,0.132352941176,0.78431372549,2.375,85.4166666667,RB
A.Dalton,A.Green,154,90.0,1160.0,9.0,6.0,0.584415584416,7.53246753247,0.0584415584416,0.038961038961,1.42207792208,1.13311688312,1.16883116883,1.40097402597,85.4166666667,WR
J.Cutler,B.Marshall,161,97.0,1241.0,8.0,6.0,0.60248447205,7.70807453416,0.0496894409938,0.0372670807453,1.51242236025,1.17701863354,0.993788819876,1.44332298137,85.4425465839,WR
T.Brady,B.Lloyd,115,66.0,821.0,2.0,0.0,0.573913043478,7.13913043478,0.0173913043478,0.0,1.36956521739,1.0347826087,0.347826086957,2.375,85.4528985507,
J.Flacco,A.Boldin,112,65.0,921.0,4.0,3.0,0.580357142857,8.22321428571,0.0357142857143,0.0267857142857,1.40178571429,1.30580357143,0.714285714286,1.70535714286,85.4538690476,WR
T.Brady,A.Hernandez,78,50.0,470.0,5.0,3.0,0.641025641026,6.02564102564,0.0641025641026,0.0384615384615,1.70512820513,0.75641025641,1.28205128205,1.41346153846,85.9508547009,
B.Weeden,J.Gordon,88,46.0,758.0,5.0,3.0,0.522727272727,8.61363636364,0.0568181818182,0.0340909090909,1.11363636364,1.40340909091,1.13636363636,1.52272727273,86.2689393939,WR
J.Flacco,R.Rice,83,61.0,478.0,1.0,1.0,0.734939759036,5.75903614458,0.0120481927711,0.0120481927711,2.17469879518,0.689759036145,0.240963855422,2.07379518072,86.3202811245,
M.Stafford,C.Johnson,192,111.0,1764.0,4.0,4.0,0.578125,9.1875,0.0208333333333,0.0208333333333,1.390625,1.546875,0.416666666667,1.85416666667,86.8055555556,
J.Flacco,T.Smith,110,49.0,855.0,8.0,2.0,0.445454545455,7.77272727273,0.0727272727273,0.0181818181818,0.727272727273,1.19318181818,1.45454545455,1.92045454545,88.2575757576,WR
