pass_player,rec_player,passing_att,passing_cmp,passing_yds,passing_tds,passing_int,cmp_per_att,yds_per_att,tds_per_att,int_per_att,a,b,c,d,passer_rtg,rec_pos
J.McCown,V.Jackson,85,46.0,646.0,0.0,6.0,0.541176470588,7.6,0.0,0.0705882352941,1.20588235294,1.15,0.0,0.610294117647,49.4362745098,WR
D.Carr,D.McFadden,52,32.0,177.0,0.0,1.0,0.615384615385,3.40384615385,0.0,0.0192307692308,1.57692307692,0.100961538462,0.0,1.89423076923,59.5352564103,
E.Manning,R.Randle,114,60.0,738.0,2.0,5.0,0.526315789474,6.47368421053,0.0175438596491,0.0438596491228,1.13157894737,0.868421052632,0.350877192982,1.27850877193,60.4897660819,
A.Luck,R.Wayne,109,59.0,712.0,2.0,5.0,0.54128440367,6.53211009174,0.0183486238532,0.045871559633,1.20642201835,0.883027522936,0.366972477064,1.22821100917,61.4105504587,
A.Luck,H.Nicks,54,27.0,271.0,3.0,2.0,0.5,5.01851851852,0.0555555555556,0.037037037037,1.0,0.50462962963,1.11111111111,1.44907407407,67.7469135802,
G.Smith,J.Kerley,58,30.0,337.0,1.0,1.0,0.51724137931,5.81034482759,0.0172413793103,0.0172413793103,1.08620689655,0.702586206897,0.344827586207,1.94396551724,67.9597701149,WR
P.Rivers,K.Allen,119,77.0,783.0,4.0,7.0,0.647058823529,6.57983193277,0.0336134453782,0.0588235294118,1.73529411765,0.894957983193,0.672268907563,0.904411764706,70.1155462185,WR
C.Newton,J.Cotchery,69,39.0,492.0,0.0,1.0,0.565217391304,7.13043478261,0.0,0.0144927536232,1.32608695652,1.03260869565,0.0,2.01268115942,72.8562801932,
M.Stafford,R.Bush,56,40.0,253.0,0.0,1.0,0.714285714286,4.51785714286,0.0,0.0178571428571,2.07142857143,0.379464285714,0.0,1.92857142857,72.9910714286,RB
D.Carr,A.Holmes,86,41.0,617.0,3.0,2.0,0.476744186047,7.17441860465,0.0348837209302,0.0232558139535,0.883720930233,1.04360465116,0.697674418605,1.79360465116,73.6434108527,WR
M.Ryan,L.Toilolo,53,31.0,238.0,2.0,1.0,0.584905660377,4.49056603774,0.0377358490566,0.0188679245283,1.42452830189,0.372641509434,0.754716981132,1.90330188679,74.2531446541,TE
K.Orton,S.Watkins,96,48.0,785.0,4.0,4.0,0.5,8.17708333333,0.0416666666667,0.0416666666667,1.0,1.29427083333,0.833333333333,1.33333333333,74.3489583333,WR
C.Newton,K.Benjamin,121,56.0,762.0,7.0,3.0,0.462809917355,6.29752066116,0.0578512396694,0.0247933884298,0.814049586777,0.824380165289,1.15702479339,1.75516528926,75.8436639118,WR
M.Glennon,V.Jackson,56,24.0,356.0,2.0,0.0,0.428571428571,6.35714285714,0.0357142857143,0.0,0.642857142857,0.839285714286,0.714285714286,2.375,76.1904761905,WR
D.Carr,M.Reece,51,31.0,217.0,1.0,0.0,0.607843137255,4.25490196078,0.0196078431373,0.0,1.53921568627,0.313725490196,0.392156862745,2.375,77.0016339869,FB
M.Ryan,H.Douglas,74,51.0,556.0,2.0,4.0,0.689189189189,7.51351351351,0.027027027027,0.0540540540541,1.94594594595,1.12837837838,0.540540540541,1.02364864865,77.3085585586,WR
B.Hoyer,A.Hawkins,90,51.0,645.0,2.0,2.0,0.566666666667,7.16666666667,0.0222222222222,0.0222222222222,1.33333333333,1.04166666667,0.444444444444,1.81944444444,77.3148148148,WR
D.Carr,M.Rivera,89,54.0,509.0,4.0,3.0,0.606741573034,5.7191011236,0.0449438202247,0.0337078651685,1.53370786517,0.679775280899,0.898876404494,1.53230337079,77.4110486891,TE
K.Orton,S.Chandler,58,38.0,381.0,3.0,3.0,0.655172413793,6.56896551724,0.051724137931,0.051724137931,1.77586206897,0.89224137931,1.03448275862,1.08189655172,79.7413793103,
R.Fitzpatrick,A.Johnson,93,55.0,616.0,2.0,1.0,0.591397849462,6.62365591398,0.0215053763441,0.010752688172,1.45698924731,0.905913978495,0.430107526882,2.1061827957,81.6532258065,WR
K.Orton,F.Jackson,66,47.0,324.0,0.0,0.0,0.712121212121,4.90909090909,0.0,0.0,2.06060606061,0.477272727273,0.0,2.375,81.8813131313,
J.Flacco,O.Daniels,78,48.0,527.0,4.0,3.0,0.615384615385,6.75641025641,0.0512820512821,0.0384615384615,1.57692307692,0.939102564103,1.02564102564,1.41346153846,82.5854700855,
J.Flacco,J.Forsett,59,44.0,263.0,0.0,0.0,0.745762711864,4.45762711864,0.0,0.0,2.22881355932,0.364406779661,0.0,2.375,82.8036723164,RB
B.Hoyer,T.Gabriel,57,30.0,525.0,1.0,1.0,0.526315789474,9.21052631579,0.0175438596491,0.0175438596491,1.13157894737,1.55263157895,0.350877192982,1.93640350877,82.8581871345,WR
B.Roethlisberger,M.Wheaton,84,52.0,637.0,2.0,2.0,0.619047619048,7.58333333333,0.0238095238095,0.0238095238095,1.59523809524,1.14583333333,0.47619047619,1.77976190476,83.2837301587,WR
A.Smith,D.Bowe,90,57.0,724.0,0.0,1.0,0.633333333333,8.04444444444,0.0,0.0111111111111,1.66666666667,1.26111111111,0.0,2.09722222222,83.75,
J.Cutler,B.Marshall,105,61.0,721.0,8.0,5.0,0.580952380952,6.86666666667,0.0761904761905,0.047619047619,1.40476190476,0.966666666667,1.52380952381,1.18452380952,84.6626984127,WR
A.Dalton,A.Green,114,68.0,1030.0,6.0,6.0,0.59649122807,9.0350877193,0.0526315789474,0.0526315789474,1.48245614035,1.50877192982,1.05263157895,1.05921052632,85.0511695906,WR
D.Brees,M.Colston,99,59.0,902.0,5.0,5.0,0.59595959596,9.11111111111,0.0505050505051,0.0505050505051,1.4797979798,1.52777777778,1.0101010101,1.11237373737,85.5008417508,
